riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs10935779-C	6E-13	-	0.577	-	"0.009 unit increase"	[0.007-0.011]	RNF13,ANKUB1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:149825315	34446935	"Karlsson Linnér R"
rs1724679-G	4E-11	-	0.376	-	"0.008 unit decrease"	[0.006-0.01]	RSRC1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:158235640	34446935	"Karlsson Linnér R"
rs2595239-G	3E-9	-	0.564	-	"0.007 unit increase"	[0.005-0.009]	IQCJ-SCHIP1,IQCJ	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:159260507	34446935	"Karlsson Linnér R"
rs7640631-C	6E-9	-	0.752	-	"0.008 unit decrease"	[0.006-0.01]	NLGN1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:173680206	34446935	"Karlsson Linnér R"
rs7646954-G	2E-12	-	0.726	-	"0.009 unit decrease"	[0.007-0.011]	ACTG1P23,EI24P1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:176018918	34446935	"Karlsson Linnér R"
rs62291402-G	2E-10	-	0.803	-	"0.009 unit decrease"	[0.007-0.011]	FXR1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:180891129	34446935	"Karlsson Linnér R"
rs4434184-A	9E-11	-	0.814	-	"0.01 unit decrease"	[0.0061-0.0139]	SOX2-OT	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:181705066	34446935	"Karlsson Linnér R"
rs6443761-T	3E-8	-	0.575	-	"0.007 unit decrease"	[0.005-0.009]	SOX2-OT	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:181754604	34446935	"Karlsson Linnér R"
rs1250101-G	2E-8	-	0.616	-	"0.007 unit increase"	[0.005-0.009]	CTBP1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	4:1242323	34446935	"Karlsson Linnér R"
rs4834978-T	4E-9	-	0.506	-	"0.007 unit decrease"	[0.005-0.009]	ECM1P2,RNU6-578P	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	4:12315850	34446935	"Karlsson Linnér R"
rs139800775-T	4E-9	-	0.856	-	"0.011 unit decrease"	[0.0071-0.0149]	SLIT2,LINC02438	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	4:20211803	34446935	"Karlsson Linnér R"
rs10805238-G	2E-8	-	0.737	-	"0.008 unit decrease"	[0.006-0.01]	RFPL4AP3,GBA3	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	4:23008383	34446935	"Karlsson Linnér R"
rs210778-G	1E-9	-	0.344	-	"0.007 unit decrease"	[0.005-0.009]	IGBP1P5,LINC02261	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	4:27431896	34446935	"Karlsson Linnér R"
rs9994140-A	1E-13	-	0.298	-	"0.009 unit increase"	[0.007-0.011]	RN7SL101P,IGBP1P5	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	4:28095670	34446935	"Karlsson Linnér R"
rs60189085-A	4E-11	-	0.661	-	"0.008 unit increase"	[0.006-0.01]	RN7SL101P,MIR4275	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	4:28785031	34446935	"Karlsson Linnér R"
rs7675916-C	3E-24	-	0.713	-	"0.013 unit increase"	[0.011-0.015]	PCDH7	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	4:31142196	34446935	"Karlsson Linnér R"
rs12508050-A	8E-12	-	0.583	-	"0.008 unit decrease"	[0.006-0.01]	RNU6-573P,ARAP2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	4:35509449	34446935	"Karlsson Linnér R"
rs6742483-G	7E-13	-	0.692	-	"0.009 unit decrease"	[0.007-0.011]	SCN2A	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:165368443	34446935	"Karlsson Linnér R"
rs77143891-C	3E-9	-	0.958	-	"0.016 unit decrease"	[0.01-0.022]	RAPGEF4-AS1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:172704236	34446935	"Karlsson Linnér R"
rs7575189-G	2E-14	-	0.412	-	"0.009 unit increase"	[0.007-0.011]	MAP3K20	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:173150440	34446935	"Karlsson Linnér R"
rs4972559-G	4E-10	-	0.306	-	"0.008 unit decrease"	[0.006-0.01]	JPT1P1,CDCA7	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:173388566	34446935	"Karlsson Linnér R"
rs7584946-T	6E-10	-	0.566	-	"0.007 unit increase"	[0.005-0.009]	PDE11A	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:177796398	34446935	"Karlsson Linnér R"
rs4233789-T	1E-16	-	0.252	-	"0.012 unit decrease"	[0.01-0.014]	LINC01934	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:181179770	34446935	"Karlsson Linnér R"
rs1918700-G	3E-8	-	0.26	-	"0.007 unit decrease"	[0.005-0.009]	DNAJC10,PDE1A	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:182584998	34446935	"Karlsson Linnér R"
rs56306056-G	9E-13	-	0.782	-	"0.01 unit increase"	[0.008-0.012]	LIN28AP1,CACYBPP2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:183551882	34446935	"Karlsson Linnér R"
rs1534599-T	1E-8	-	0.414	-	"0.007 unit decrease"	[0.005-0.009]	MAIP1,SPATS2L	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:200208410	34446935	"Karlsson Linnér R"
rs13394795-T	2E-13	-	0.758	-	"0.01 unit increase"	[0.008-0.012]	RNU6-440P,FZD7	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:202003008	34446935	"Karlsson Linnér R"
rs6715945-A	2E-8	-	0.797	-	"0.008 unit decrease"	[0.006-0.01]	BMPR2,RN7SL40P	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:202358572	34446935	"Karlsson Linnér R"
rs2135160-T	2E-8	-	0.9	-	"0.011 unit decrease"	[0.0071-0.0149]	ERBB4	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:212349743	34446935	"Karlsson Linnér R"
rs72944387-C	2E-13	-	0.746	-	"0.01 unit decrease"	[0.008-0.012]	IKZF2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:213006241	34446935	"Karlsson Linnér R"
rs7580488-C	9E-13	-	0.621	-	"0.009 unit increase"	[0.007-0.011]	CUL3,CCDC195	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:224608546	34446935	"Karlsson Linnér R"
rs12690535-G	5E-14	-	0.179	-	"0.011 unit decrease"	[0.0071-0.0149]	DOCK10,NYAP2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	2:225394657	34446935	"Karlsson Linnér R"
rs9809849-G	2E-9	-	0.578	-	"0.007 unit decrease"	[0.005-0.009]	CRBN,SUMF1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:3684472	34446935	"Karlsson Linnér R"
rs4479577-C	7E-9	-	0.516	-	"0.007 unit decrease"	[0.005-0.009]	RN7SL553P,GRM7-AS3	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:5682131	34446935	"Karlsson Linnér R"
rs55855024-C	6E-13	-	0.701	-	"0.009 unit decrease"	[0.007-0.011]	PLCL2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:16809262	34446935	"Karlsson Linnér R"
rs9812906-G	3E-11	-	0.559	-	"0.008 unit increase"	[0.006-0.01]	TBC1D5	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:17484013	34446935	"Karlsson Linnér R"
rs56168640-G	2E-8	-	0.723	-	"0.008 unit increase"	[0.006-0.01]	SGO1-AS1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:20671102	34446935	"Karlsson Linnér R"
rs13099267-G	8E-9	-	0.301	-	"0.007 unit decrease"	[0.005-0.009]	UBE2E1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:23837326	34446935	"Karlsson Linnér R"
rs904592-C	2E-10	-	0.514	-	"0.007 unit decrease"	[0.005-0.009]	RARB,RNA5SP125	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:25151611	34446935	"Karlsson Linnér R"
rs1520625-G	2E-8	-	0.633	-	"0.007 unit decrease"	[0.005-0.009]	LINC01811	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:34567384	34446935	"Karlsson Linnér R"
rs67723420-T	1E-8	-	0.631	-	"0.007 unit increase"	[0.005-0.009]	ARPP21	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:35733623	34446935	"Karlsson Linnér R"
rs76887862-G	3E-13	-	0.863	-	"0.012 unit decrease"	[0.0081-0.0159]	SNRK,POMGNT2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	3:43279922	34446935	"Karlsson Linnér R"
rs7708354-T	2E-10	-	0.762	-	"0.009 unit decrease"	[0.007-0.011]	TENM2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	5:168217288	34446935	"Karlsson Linnér R"
rs10070758-G	3E-13	-	0.285	-	"0.009 unit decrease"	[0.007-0.011]	RANBP17	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	5:171012068	34446935	"Karlsson Linnér R"
rs359456-T	1E-12	-	0.432	-	"0.008 unit increase"	[0.006-0.01]	LINC01485,CPEB4	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	5:173852805	34446935	"Karlsson Linnér R"
rs559602-C	3E-8	-	0.647	-	"0.007 unit increase"	[0.005-0.009]	RNA5SP202,ECI2-DT	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:4366474	34446935	"Karlsson Linnér R"
rs4714052-G	3E-11	-	0.216	-	"0.01 unit increase"	[0.008-0.012]	AMD1P4,HIVEP1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:11945249	34446935	"Karlsson Linnér R"
rs7774403-G	4E-9	-	0.596	-	"0.007 unit decrease"	[0.005-0.009]	PHACTR1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:12950519	34446935	"Karlsson Linnér R"
rs9460342-C	3E-8	-	0.916	-	"0.011 unit decrease"	[0.0071-0.0149]	LNC-LBCS	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:19373583	34446935	"Karlsson Linnér R"
rs766406-G	4E-17	-	0.361	-	"0.01 unit increase"	[0.008-0.012]	H4C8,H3C9P	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:26319360	34446935	"Karlsson Linnér R"
rs6918792-A	7E-20	-	0.917	-	"0.021 unit increase"	[0.017-0.025]	HNRNPA1P1,ZNF184	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:27483640	34446935	"Karlsson Linnér R"
rs1264565-T	8E-15	-	0.618	-	"0.01 unit increase"	[0.008-0.012]	MICC,UBQLN1P1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:30399234	34446935	"Karlsson Linnér R"
rs34260955-C	2E-9	-	0.783	-	"0.009 unit decrease"	[0.0051-0.0129]	GGNBP1,ZBTB9	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:33485334	34446935	"Karlsson Linnér R"
rs3957165-C	3E-8	-	0.189	-	"0.008 unit increase"	[0.006-0.01]	MLN,LINC01016	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:33817087	34446935	"Karlsson Linnér R"
rs877596-T	8E-9	-	0.354	-	"0.007 unit increase"	[0.005-0.009]	MAPK14,MAPK13	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:36121273	34446935	"Karlsson Linnér R"
rs10947675-G	5E-13	-	0.481	-	"0.008 unit increase"	[0.006-0.01]	LINC02520	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:37512196	34446935	"Karlsson Linnér R"
rs75108536-C	5E-11	-	0.84	-	"0.01 unit increase"	[0.0061-0.0139]	LRFN2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:40408201	34446935	"Karlsson Linnér R"
rs9471935-G	1E-10	-	0.775	-	"0.009 unit decrease"	[0.007-0.011]	RPL7L1,BICRAL	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:42872580	34446935	"Karlsson Linnér R"
rs4628086-C	7E-18	-	0.897	-	"0.015 unit increase"	[0.011-0.019]	TFAP2B	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:50819644	34446935	"Karlsson Linnér R"
rs160631-T	1E-13	-	0.261	-	"0.01 unit increase"	[0.008-0.012]	CILK1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:53030432	34446935	"Karlsson Linnér R"
rs11750999-G	4E-21	-	0.616	-	"0.012 unit decrease"	[0.01-0.014]	RNU7-66P,NUFIP1P1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:66709763	34446935	"Karlsson Linnér R"
rs4706314-C	3E-8	-	0.463	-	"0.006 unit decrease"	[0.004-0.008]	Y_RNA,LINC02549	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:68019238	34446935	"Karlsson Linnér R"
rs7738395-G	1E-10	-	0.375	-	"0.008 unit increase"	[0.006-0.01]	MIR4643,MAP3K7	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:91493049	34446935	"Karlsson Linnér R"
rs2506929-G	5E-8	-	0.254	-	"0.007 unit increase"	[0.005-0.009]	ATF1P1,COPS5P1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:92896426	34446935	"Karlsson Linnér R"
rs2029241-G	8E-15	-	0.845	-	"0.013 unit increase"	[0.0091-0.0169]	MIR2113,EIF4EBP2P3	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:98140058	34446935	"Karlsson Linnér R"
rs9321055-A	2E-16	-	0.316	-	"0.01 unit increase"	[0.008-0.012]	POU3F2,EIF4EBP2P3	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:98402977	34446935	"Karlsson Linnér R"
rs62432597-A	5E-16	-	0.641	-	"0.01 unit increase"	[0.008-0.012]	MCHR2,Y_RNA	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	6:99873512	34446935	"Karlsson Linnér R"
rs10922977-T	3E-8	-	0.635	-	"0.007 unit increase"	[0.005-0.009]	PKN2-AS1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:88011051	34446935	"Karlsson Linnér R"
rs11165471-G	3E-9	-	0.513	-	"0.007 unit decrease"	[0.005-0.009]	LINC02607	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:95719282	34446935	"Karlsson Linnér R"
rs1419079-G	4E-8	-	0.252	-	"0.007 unit increase"	[0.005-0.009]	NGF-AS1,LINC01765	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:115103534	34446935	"Karlsson Linnér R"
rs4845556-G	3E-10	-	0.521	-	"0.007 unit increase"	[0.005-0.009]	TDRKH	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:151772382	34446935	"Karlsson Linnér R"
rs3790613-C	3E-9	-	0.876	-	"0.01 unit increase"	[0.0061-0.0139]	UBAP2L	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:154238195	34446935	"Karlsson Linnér R"
rs41264285-C	7E-10	-	0.791	-	"0.009 unit decrease"	[0.007-0.011]	ADAM15	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:155061442	34446935	"Karlsson Linnér R"
rs9660091-G	7E-9	-	0.612	-	"0.007 unit decrease"	[0.005-0.009]	PBX1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:164763490	34446935	"Karlsson Linnér R"
rs2901785-G	1E-10	-	0.557	-	"0.007 unit increase"	[0.005-0.009]	RABGAP1L-DT	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:174135605	34446935	"Karlsson Linnér R"
rs12140293-G	4E-10	-	0.811	-	"0.009 unit increase"	[0.0051-0.0129]	C1orf53,DENND1B	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:197840949	34446935	"Karlsson Linnér R"
rs6660370-C	1E-8	-	0.796	-	"0.008 unit decrease"	[0.006-0.01]	LINC02789	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:199359802	34446935	"Karlsson Linnér R"
rs11801229-A	2E-10	-	0.857	-	"0.01 unit increase"	[0.0061-0.0139]	LRRN2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:204645347	34446935	"Karlsson Linnér R"
rs35068223-A	2E-8	-	0.794	-	"0.008 unit decrease"	[0.006-0.01]	NFASC	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:204998058	34446935	"Karlsson Linnér R"
rs823099-C	1E-10	-	0.562	-	"0.008 unit decrease"	[0.006-0.01]	Metazoa_SRP,NUCKS1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:205700194	34446935	"Karlsson Linnér R"
rs1564879-G	2E-8	-	0.528	-	"0.007 unit increase"	[0.005-0.009]	PFKFB2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:207078173	34446935	"Karlsson Linnér R"
rs12735671-C	4E-8	-	0.666	-	"0.007 unit increase"	[0.005-0.009]	LINC01735,PLXNA2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:208273841	34446935	"Karlsson Linnér R"
rs7545279-T	3E-10	-	0.791	-	"0.008 unit increase"	[0.006-0.01]	SYT14	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:210002825	34446935	"Karlsson Linnér R"
rs10157166-C	8E-9	-	0.593	-	"0.007 unit decrease"	[0.005-0.009]	SMYD2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:214311607	34446935	"Karlsson Linnér R"
rs616523-C	6E-9	-	0.501	-	"0.007 unit decrease"	[0.005-0.009]	USH2A	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:216122856	34446935	"Karlsson Linnér R"
rs12757183-T	1E-9	-	0.802	-	"0.009 unit increase"	[0.007-0.011]	ESRRG	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:216747031	34446935	"Karlsson Linnér R"
rs12025326-G	2E-8	-	0.964	-	"0.017 unit decrease"	[0.011-0.023]	RAB3GAP2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:220188455	34446935	"Karlsson Linnér R"
rs12736932-G	1E-8	-	0.772	-	"0.008 unit increase"	[0.006-0.01]	SIPA1L2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:232436292	34446935	"Karlsson Linnér R"
rs4659704-C	4E-14	-	0.442	-	"0.009 unit decrease"	[0.007-0.011]	ACTN2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:236712957	34446935	"Karlsson Linnér R"
rs12089815-G	2E-29	-	0.453	-	"0.014 unit increase"	[0.012-0.016]	LINC02609,BARHL2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:90724376	34446935	"Karlsson Linnér R"
rs505066-C	3E-9	-	0.714	-	"0.008 unit decrease"	[0.006-0.01]	UBE2WP1,LINC01787	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:96417115	34446935	"Karlsson Linnér R"
rs333078-C	4E-9	-	0.644	-	"0.007 unit decrease"	[0.005-0.009]	AHCYL1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:109992292	34446935	"Karlsson Linnér R"
rs277686-C	4E-9	-	0.642	-	"0.007 unit increase"	[0.005-0.009]	DNAJC11	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:6687837	34446935	"Karlsson Linnér R"
rs1193232-G	3E-10	-	0.544	-	"0.007 unit decrease"	[0.005-0.009]	CAMTA1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:7490285	34446935	"Karlsson Linnér R"
rs3820277-G	5E-16	-	0.476	-	"0.01 unit increase"	[0.008-0.012]	IGSF21	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:18110163	34446935	"Karlsson Linnér R"
rs7524140-C	6E-11	-	0.87	-	"0.012 unit decrease"	[0.0081-0.0159]	ADGRB2,COL16A1	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:31713660	34446935	"Karlsson Linnér R"
rs10914684-G	4E-17	-	0.661	-	"0.01 unit increase"	[0.008-0.012]	PHC2	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:33329971	34446935	"Karlsson Linnér R"
rs6688223-A	2E-8	-	0.214	-	"0.009 unit decrease"	[0.0051-0.0129]	HPCAL4	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:39685996	34446935	"Karlsson Linnér R"
rs11209838-C	6E-11	-	0.685	-	"0.008 unit increase"	[0.006-0.01]	SCMH1,FOXO6	"Externalizing behaviour (multivariate analysis)"	"attention deficit hyperactivity disorder,substance abuse,antisocial behaviour measurement"	-	GCST90061435	1:41307285	34446935	"Karlsson Linnér R"
